2021-05-24 23:56:58.110 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"stock_symbols":["T"],"interval_time":3000.0,"amount_per_interval":10.0,"type":"stock_data_request_interval"} 
2021-05-24 23:56:58.170 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"stock_symbols":["T"],"interval_time":3000.0,"amount_per_interval":10.0,"type":"stock_data_request_interval"} 
2021-05-24 23:58:20.530 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"stock_symbol":"T","share_price":"38.35","number_of_shares":10,"type":"buy_request"} 
2021-05-24 23:58:35.322 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"stock_symbol":"T","share_price":"27.45","number_of_shares":5,"type":"buy_request"} 
2021-05-25 00:02:22.916 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | socket closed 
2021-05-25 00:02:24.843 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | socket closed 
2021-05-25 00:02:34.057 | INFO | DRIVER | main | Starting Driver 
2021-05-25 00:02:34.847 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Starting StarterVerticle 
2021-05-25 00:02:35.136 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | config retrieved 
2021-05-25 00:02:35.136 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Got config 
2021-05-25 00:02:35.772 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Server now listening on 8080 
2021-05-25 00:03:14.717 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Connection ID=__vertx.ws.ea7e8bad-6fcf-4b95-aba3-a01a8bf05908 
2021-05-25 00:03:14.772 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_name":"FIRST","type":"new_player"} 
2021-05-25 00:03:14.787 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_choice":"yes","stock_names":["Tesla Inc","Sprint Corp","Agilent Technologies Inc"],"stock_symbols":["TSLA","S","A"],"mode":"multiple-stocks","starting_balance":10000.0,"game_time":2.0,"type":"new_or_current_game"} 
2021-05-25 00:03:44.426 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Connection ID=__vertx.ws.b0713ab5-6f53-42c9-8c51-a1f8ca3395f8 
2021-05-25 00:03:44.703 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_name":"SECOND","type":"new_player"} 
2021-05-25 00:03:44.703 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_choice":"no","game_code":"UPHXTW","type":"new_or_current_game"} 
2021-05-25 00:03:53.079 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"stock_symbols":["TSLA","S","A"],"interval_time":3000.0,"amount_per_interval":10.0,"type":"stock_data_request_interval"} 
2021-05-25 00:03:53.130 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"stock_symbols":["TSLA","S","A"],"interval_time":3000.0,"amount_per_interval":10.0,"type":"stock_data_request_interval"} 
2021-05-25 00:04:59.028 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"stock_symbol":"TSLA","share_price":"32.43","number_of_shares":5,"type":"buy_request"} 
2021-05-25 00:06:21.571 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | socket closed 
2021-05-25 00:06:24.378 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | socket closed 
2021-05-25 00:07:27.414 | INFO | DRIVER | main | Starting Driver 
2021-05-25 00:07:28.273 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Starting StarterVerticle 
2021-05-25 00:07:28.692 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | config retrieved 
2021-05-25 00:07:28.692 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Got config 
2021-05-25 00:07:29.468 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Server now listening on 8080 
2021-05-25 00:08:07.861 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Connection ID=__vertx.ws.0ab62e97-c52c-4b51-96f4-0889e6b74419 
2021-05-25 00:08:07.944 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_name":"FIRST","type":"new_player"} 
2021-05-25 00:08:07.956 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_choice":"yes","stock_names":["Tesla Inc","Sprint Corp","Agilent Technologies Inc"],"stock_symbols":["TSLA","S","A"],"mode":"multiple-stocks","starting_balance":10000.0,"game_time":2.0,"type":"new_or_current_game"} 
2021-05-25 00:09:14.740 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | Connection ID=__vertx.ws.ceb951fc-c2d8-4f51-bebf-cbab55c03e70 
2021-05-25 00:09:15.016 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_name":"SECOND","type":"new_player"} 
2021-05-25 00:09:15.016 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"player_choice":"no","game_code":"AXIASX","type":"new_or_current_game"} 
2021-05-25 00:09:34.360 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"stock_symbols":["TSLA","S","A"],"interval_time":3000.0,"amount_per_interval":10.0,"type":"stock_data_request_interval"} 
2021-05-25 00:09:34.416 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"stock_symbols":["TSLA","S","A"],"interval_time":3000.0,"amount_per_interval":10.0,"type":"stock_data_request_interval"} 
2021-05-25 00:10:38.448 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"stock_symbol":"S","share_price":"22.51","number_of_shares":10,"type":"buy_request"} 
2021-05-25 00:11:06.742 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"stock_symbol":"S","share_price":"10.9","number_of_shares":10,"type":"buy_request"} 
2021-05-25 00:11:13.270 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | {"stock_symbol":"S","share_price":"9.5","number_of_shares":5,"type":"sell_request"} 
2021-05-25 00:12:34.864 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | socket closed 
2021-05-25 00:12:36.996 | INFO | APIVERTICLE | vert.x-eventloop-thread-0 | socket closed 
